domain,dimension,label,code,parent_1,parent_2,definition,definition_suggested,source
Mitigation,Type of measure: instruments,Sustainable urban mobility plans,A_SUMP,C_System,P_Planning,"A sustainable urban mobility plan (SUMP) is “a strategic plan designed to satisfy the mobility needs of people and businesses in cities and their surroundings for a better quality of life. It builds on existing planning practices and takes due consideration of integration, participation and evaluation principles”. If the document refers to a SUMP or an integrated approach on urban mobility, this is captured here.","A sustainable urban mobility plan (SUMP) is a strategic plan designed to satisfy the mobility needs of people and businesses in cities and their surroundings for a better quality of life. It builds on existing planning practices and gives due consideration to integration, participation and evaluation principles. Captured here when a document refers to a SUMP or an integrated urban mobility approach.",European Commission (n.d.)
Mitigation,Type of measure: instruments,"Access improvement instruments (density, mixed use)",A_Mixuse,C_System,P_Planning,"This parameter captures different features of the urban built environment that contribute to low mileage and sustainble travel patterns. This inclues urban density, land-use diversity ""mixed used"" and enhanced accessibility.",,
Mitigation,Type of measure: instruments,Expansion of infrastructure,S_Infraexpansion,C_System,P_Infrastructure,"This parameter refers to activities that aim to introduce new infrastructure or expand infrastructure for transport . If a measure is dedicated to a specific transport mode, then it might be captured under that specific parameter. Any general mention of expanding transport infrastructure is collected here.",,
Mitigation,Type of measure: instruments,Infrastructure improvements,S_Infraimprove,C_System,P_Infrastructure,"This parameter is for measures that outline general improvements in transport infrastructure or the transport system as a whole, without providing details about specific measures.",,
Mitigation,Type of measure: instruments,Intermodality measures,S_Intermodality,C_System,P_Infrastructure,"Intermodality is the combination of different transport modes with the goal of enabling convenient, seamless transfer between them. Any general activities that highlight intermodality but do not specify actions are included here.",,
Mitigation,Type of measure: instruments,General freight efficiency improvements,I_Freighteff,C_System,P_Freight,"This parameter records general efficiency improvements in freight. If the document does not specify a specific activity or action that belongs to the other freight efficiency activities, then it is captured here.",,
Mitigation,Type of measure: instruments,Improving load,I_Load,C_System,P_Freight,"This parameter is for measures that encourage reliance on high-capacity vehicles (trains, ships, etc.) in order to achieve lower carbon intensity per ton transported.",,
Mitigation,Type of measure: instruments,Freight transport shifting to rail or inland waterways,S_Railfreight,C_System,P_Freight,"In freight transport, intermodality often entails a shift to less carbon-intensive transport modes (e.g. rail and waterborne transport). This parameter records any actions that support a shift of road freight to rail or waterways.",,
Mitigation,Type of measure: instruments,Ecodriving,I_Ecodriving,C_System,P_Education,Ecodriving refers to educational measures that encourage more efficient driving practices. Such practices can reduce fuel consumption and are captured in this parameter.,"Ecodriving refers to educational measures that encourage more efficient driving practices, which can reduce fuel consumption. Captured under this parameter.",
Mitigation,Type of measure: instruments,General education and behavior change,I_Education,C_System,P_Education,"This parameter is for general educational activities and behavioral change related to transport, e.g. concerning the environmental impacts of private vehicle use, the benefits of electric vehicles, etc.","This parameter is for general educational activities and behavioural change related to transport (e.g. the environmental impacts of private vehicle use, the benefits of electric vehicles, etc.).",
Mitigation,Type of measure: instruments,Labelling requirements,I_Vehiclelabel,C_Efficiency,P_Vehicles,"This parameter refers to measures requiring publication of information on environment impacts, this environmental impact can be GHG emissions, fuel consumption, carbon intesntiy of a fuel or local pollutants. All of the different labels are captured under this parameter.",,
Mitigation,Type of measure: instruments,Vehicle air pollution emission standards,I_Efficiencystd,C_Efficiency,P_Vehicles,This parameter captures emission standards that regulate air pollution exhaust emission(such as NOx) such as the EURO standards Euro1-6 (not referring to CO2 standards),"This parameter captures emission standards regulating air-pollutant exhaust emissions (such as NOx), e.g. the EURO standards Euro 1-6 (not referring to CO2 standards).",
Mitigation,Type of measure: instruments,Fuel quality improvements,I_Fuelqualimprove,C_Efficiency,P_Vehicles,A high-quality fuel contains very low levels of sulfur. Countries set fuel quality standards in order to guarantee fuel quality. This parameter covers any mention of clean fuels or better fuel quality in the transport sector,,
Mitigation,Type of measure: instruments,Inspection and maintenance,I_Inspection,C_Efficiency,P_Vehicles,A well-maintained vehicle can ensure higher energy efficiency. This parameter considers measures that pertain to vehicle inspections or maintenance.,,
Mitigation,Type of measure: instruments,Vehicle efficiency standards,I_Vehicleeff,C_Efficiency,P_Vehicles,"This parameter captures measures designed to improve vehicle efficiency or lower transport emissions. This is done through fuel economy  (or CO2) standards, which regulate how far a vehicle must travel when consuming a given quantity of fuel (e.g. in liters per 100 km or miles per gallon or CO2/100km).",,
Mitigation,Type of measure: instruments,General vehicle improvement measures,I_Vehicleimprove,C_Efficiency,P_Vehicles,This parameter identifies any general vehicle improvement measures that are included in the document.,,
Mitigation,Type of measure: instruments,"Vehicle restrictions (import, age, access, sale, taxation)",I_VehicleRestrictions,C_Efficiency,P_Vehicles,"This parameter encompasses various restrictions to vehicle ownership or purchase, including import bans on older vehicles or sale restrictions on particularly polluting vehicles.","This parameter encompasses restrictions on vehicle ownership or purchase, including import bans on older vehicles or sale restrictions on particularly polluting vehicles.",
Mitigation,Type of measure: instruments,Vehicle scrappage scheme,I_Vehiclescrappage,C_Efficiency,P_Vehicles,"In order to support the transition to cleaner, more efficient vehicles, governments may provide incentives when an owner scraps their current, old vehicle (rather than reselling it), circular economy.",,
Mitigation,Type of measure: instruments,General e-mobility measures,I_Emobility,C_Electrification,P_Electric,Any general policies that refer to electric mobility without specifying a transport mode or specific measure are covered by this parameter.,,
Mitigation,Type of measure: instruments,EV charging infrastructure measures,I_EVcharging,C_Electrification,P_Electric,Electric vehicle charging infrastructure is needed to promote the adoption of electric vehicles. Measures that seek to increase the number of public charging stations or facilitate more private/public charging points are covered here,,
Mitigation,Type of measure: instruments,EV purchase incentives,I_EVpurchase,C_Electrification,P_Electric,National and local governments can support the transition to e-mobility by providing financial incentives for the purchase of electric vehicles.,,
